[23:33:45] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[23:33:45] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:33:45] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:33:45] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:33:45] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[23:33:45] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[23:33:45] [ServerMain/INFO]: Reloading ResourceManager: Default
[23:33:46] [Worker-Main-11/INFO]: Loaded 7 recipes
[23:33:47] [Worker-Main-11/INFO]: Loaded 1141 advancements
[23:33:50] [Server thread/INFO]: Starting minecraft server version 1.18.1
[23:33:50] [Server thread/INFO]: Loading properties
[23:33:50] [Server thread/INFO]: Default game type: SURVIVAL
[23:33:50] [Server thread/INFO]: Generating keypair
[23:33:51] [Server thread/INFO]: Starting Minecraft server on *:25565
[23:33:51] [Server thread/INFO]: Using epoll channel type
[23:33:51] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[23:33:51] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[23:33:51] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[23:33:51] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[23:33:51] [Server thread/INFO]: Preparing level "1488"
[23:33:51] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:33:59] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:00] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:00] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:01] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:01] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:02] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:02] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:03] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:03] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:04] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:04] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:05] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:05] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:34:06] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:06] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:07] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:07] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:34:08] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:34:08] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[23:34:09] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:09] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[23:34:10] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:10] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:11] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[23:34:11] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:12] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:12] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:13] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:13] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[23:34:14] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:14] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[23:34:15] [Worker-Main-8/INFO]: Preparing spawn area: 0%
